PC=0000000000000000, REG[ 1]=0000000000000008
PC=0000000000000004, REG[ 2]=00000000000027bb
PC=0000000000000008, REG[ 2]=0000000027bb0000
PC=000000000000000c, REG[ 0]=0000000000002ee6
PC=0000000000000010, REG[ 2]=0000000027bb2ee6
PC=0000000000000014, REG[ 0]=000000000000087b
PC=0000000000000018, REG[ 2]=0000027bb2ee6000
PC=000000000000001c, REG[ 2]=0000027bb2ee687b
PC=0000000000000020, REG[ 0]=00000000000000b0
PC=0000000000000024, REG[ 2]=0027bb2ee687b000
PC=0000000000000028, REG[ 2]=0027bb2ee687b0b0
PC=000000000000002c, REG[ 0]=00000000000000fd
PC=0000000000000030, REG[ 2]=27bb2ee687b0b000
PC=0000000000000034, REG[ 2]=27bb2ee687b0b0fd
PC=0000000000000038, REG[ 3]=0000000000000b50
PC=000000000000003c, REG[ 3]=0000000000b50000
PC=0000000000000040, REG[ 0]=00000000000004f3
PC=0000000000000044, REG[ 3]=0000000000b504f3
PC=0000000000000048, REG[ 0]=000000000000002d
PC=000000000000004c, REG[ 3]=000000000b504f30
PC=0000000000000050, REG[ 3]=000000000b504f3d
PC=0000000000000054, REG[ 4]=0000000000000000
