PC=0000000000000000, REG[ 1]=0000000000000008
PC=0000000000000004, REG[ 2]=00000000000027bb
PC=0000000000000008, REG[ 2]=0000000027bb0000
PC=000000000000000c, REG[ 0]=0000000000002ee6
PC=0000000000000010, REG[ 2]=0000000027bb2ee6
PC=0000000000000014, REG[ 0]=000000000000087b
PC=0000000000000018, REG[ 2]=0000027bb2ee6000
PC=000000000000001c, REG[ 2]=0000027bb2ee687b
PC=0000000000000020, REG[ 0]=00000000000000b0
PC=0000000000000024, REG[ 2]=0027bb2ee687b000
PC=0000000000000028, REG[ 2]=0027bb2ee687b0b0
PC=000000000000002c, REG[ 0]=00000000000000fd
PC=0000000000000030, REG[ 2]=27bb2ee687b0b000
PC=0000000000000034, REG[ 2]=27bb2ee687b0b0fd
PC=0000000000000038, REG[ 3]=0000000000000b50
PC=000000000000003c, REG[ 3]=0000000000b50000
PC=0000000000000040, REG[ 0]=00000000000004f3
PC=0000000000000044, REG[ 3]=0000000000b504f3
PC=0000000000000048, REG[ 0]=000000000000002d
PC=000000000000004c, REG[ 3]=000000000b504f30
PC=0000000000000050, REG[ 3]=000000000b504f3d
PC=0000000000000054, REG[ 4]=0000000000000000
PC=0000000000000058, REG[ 4]=0000000000000001
PC=000000000000005c, REG[ 5]=0000000000000001
PC=0000000000000060, REG[10]=3dd977343d8587e8
PC=0000000000000064, REG[10]=3dd9773448d5d725
PC=0000000000000068, REG[11]=d00889756baf0f91
PC=000000000000006c, REG[11]=d008897576ff5ece
PC=0000000000000070, REG[12]=58654689fb2e5196
PC=0000000000000074, REG[12]=5865468a067ea0d3
PC=0000000000000078, REG[ 1]=7ab2404f4fc60087
PC=000000000000007c, REG[ 1]=7ab2404f5b164fc4
PC=0000000000000080, REG[10]=000000003dd97734
PC=0000000000000084, REG[11]=00000000d0088975
PC=0000000000000088, REG[12]=000000005865468a
PC=000000000000008c, REG[13]=000000007ab2404f
PC=0000000000000090, REG[ 0]=000000000000004d
PC=0000000000000094, ---
PC=0000000000000058, REG[ 4]=0000000000000002
PC=000000000000005c, REG[ 5]=0000000000000001
PC=0000000000000060, REG[10]=d684628b8ea394b4
PC=0000000000000064, REG[10]=d684628b99f3e3f1
PC=0000000000000068, REG[11]=beddeb359f6df52d
PC=000000000000006c, REG[11]=beddeb35aabe446a
PC=0000000000000070, REG[12]=eba0958b7bf27cc2
PC=0000000000000074, REG[12]=eba0958b8742cbff
PC=0000000000000078, REG[ 1]=0bb5087c5192eb03
PC=000000000000007c, REG[ 1]=0bb5087c5ce33a40
PC=0000000000000080, REG[10]=00000000d684628b
PC=0000000000000084, REG[11]=00000000beddeb35
PC=0000000000000088, REG[12]=00000000eba0958b
PC=000000000000008c, REG[13]=000000000bb5087c
PC=0000000000000090, REG[ 0]=000000000000006d
PC=0000000000000094, ---
PC=0000000000000058, REG[ 4]=0000000000000003
PC=000000000000005c, REG[ 5]=0000000000000001
PC=0000000000000060, REG[10]=07986833d09c9140
PC=0000000000000064, REG[10]=07986833dbece07d
PC=0000000000000068, REG[11]=735ae5fd745fcb89
PC=000000000000006c, REG[11]=735ae5fd7fb01ac6
PC=0000000000000070, REG[12]=613adc65159295ae
PC=0000000000000074, REG[12]=613adc6520e2e4eb
PC=0000000000000078, REG[ 1]=be347e64cc2dcc3f
PC=000000000000007c, REG[ 1]=be347e64d77e1b7c
PC=0000000000000080, REG[10]=0000000007986833
PC=0000000000000084, REG[11]=00000000735ae5fd
PC=0000000000000088, REG[12]=00000000613adc65
PC=000000000000008c, REG[13]=00000000be347e64
PC=0000000000000090, REG[ 0]=000000000000008d
PC=0000000000000094, ---
PC=0000000000000058, REG[ 4]=0000000000000004
PC=000000000000005c, REG[ 5]=0000000000000001
PC=0000000000000068, REG[11]=cd3f7acac1aecea5
PC=000000000000006c, REG[11]=cd3f7acaccff1de2
PC=0000000000000070, REG[12]=2058b48eb60be85a
PC=0000000000000074, REG[12]=2058b48ec15c3797
PC=0000000000000078, REG[ 1]=450d3a65572ac03b
PC=000000000000007c, REG[ 1]=450d3a65627b0f78
PC=0000000000000080, REG[10]=000000005f8ede68
PC=0000000000000084, REG[11]=00000000cd3f7aca
PC=0000000000000088, REG[12]=000000002058b48e
PC=000000000000008c, REG[13]=00000000450d3a65
PC=0000000000000090, REG[ 0]=00000000000000ad
PC=0000000000000094, ---
PC=0000000000000058, REG[ 4]=0000000000000005
PC=000000000000005c, REG[ 5]=0000000000000001
PC=0000000000000060, REG[10]=1eda7979d8c0c998
PC=0000000000000064, REG[10]=1eda7979e41118d5
PC=0000000000000068, REG[11]=0ce93f798b67fa81
PC=000000000000006c, REG[11]=0ce93f7996b849be
PC=0000000000000070, REG[12]=36d685128b7380c6
PC=0000000000000074, REG[12]=36d6851296c3d003
PC=0000000000000078, REG[ 1]=0245a1083596a2f7
PC=000000000000007c, REG[ 1]=0245a10840e6f234
PC=0000000000000080, REG[10]=000000001eda7979
PC=0000000000000084, REG[11]=000000000ce93f79
PC=0000000000000088, REG[12]=0000000036d68512
PC=000000000000008c, REG[13]=000000000245a108
PC=0000000000000090, REG[ 0]=00000000000000cd
PC=0000000000000094, ---
PC=0000000000000058, REG[ 4]=0000000000000006
PC=000000000000005c, REG[ 5]=0000000000000001
PC=0000000000000068, REG[11]=f391acd2b0570b1d
PC=000000000000006c, REG[11]=f391acd2bba75a5a
PC=0000000000000070, REG[12]=2ff449d616622af2
PC=0000000000000074, REG[12]=2ff449d621b27a2f
